freqs:, k index, k1, k2, k3, kmag/2pi, band 1
freqs:, 77, 1.51394, 0, 0, 1.51394, 0.499967
freqs:, 78, 1.53386, 0, 0, 1.53386, 0.505293
freqs:, 79, 1.55378, 0, 0, 1.55378, 0.510625
freqs:, 80, 1.57371, 0, 0, 1.57371, 0.515962
freqs:, 81, 1.59363, 0, 0, 1.59363, 0.521305
freqs:, 82, 1.61355, 0, 0, 1.61355, 0.526653
freqs:, 83, 1.63347, 0, 0, 1.63347, 0.532007
freqs:, 84, 1.65339, 0, 0, 1.65339, 0.537366
freqs:, 85, 1.67331, 0, 0, 1.67331, 0.542729
freqs:, 86, 1.69323, 0, 0, 1.69323, 0.548098
freqs:, 87, 1.71315, 0, 0, 1.71315, 0.553471
freqs:, 88, 1.73307, 0, 0, 1.73307, 0.55885
freqs:, 89, 1.75299, 0, 0, 1.75299, 0.564233
freqs:, 90, 1.77291, 0, 0, 1.77291, 0.56962
freqs:, 91, 1.79283, 0, 0, 1.79283, 0.575012
freqs:, 92, 1.81275, 0, 0, 1.81275, 0.580409
freqs:, 93, 1.83267, 0, 0, 1.83267, 0.58581
freqs:, 94, 1.85259, 0, 0, 1.85259, 0.591215
freqs:, 95, 1.87251, 0, 0, 1.87251, 0.596625
freqs:, 96, 1.89243, 0, 0, 1.89243, 0.602038
freqs:, 97, 1.91235, 0, 0, 1.91235, 0.607456
freqs:, 98, 1.93227, 0, 0, 1.93227, 0.612877
freqs:, 99, 1.95219, 0, 0, 1.95219, 0.618303
freqs:, 100, 1.97211, 0, 0, 1.97211, 0.623732
freqs:, 101, 1.99203, 0, 0, 1.99203, 0.629165
freqs:, 102, 2.01195, 0, 0, 2.01195, 0.634602
freqs:, 103, 2.03187, 0, 0, 2.03187, 0.640042
freqs:, 104, 2.05179, 0, 0, 2.05179, 0.645486
freqs:, 105, 2.07171, 0, 0, 2.07171, 0.650933
freqs:, 106, 2.09163, 0, 0, 2.09163, 0.656384
freqs:, 107, 2.11155, 0, 0, 2.11155, 0.661839
freqs:, 108, 2.13147, 0, 0, 2.13147, 0.667296
freqs:, 109, 2.15139, 0, 0, 2.15139, 0.672757
freqs:, 110, 2.17131, 0, 0, 2.17131, 0.678221
freqs:, 111, 2.19124, 0, 0, 2.19124, 0.683689
freqs:, 112, 2.21116, 0, 0, 2.21116, 0.689159
freqs:, 113, 2.23108, 0, 0, 2.23108, 0.694632
freqs:, 114, 2.251, 0, 0, 2.251, 0.700109
freqs:, 115, 2.27092, 0, 0, 2.27092, 0.705588
freqs:, 116, 2.29084, 0, 0, 2.29084, 0.711071
freqs:, 117, 2.31076, 0, 0, 2.31076, 0.716556
freqs:, 118, 2.33068, 0, 0, 2.33068, 0.722044
freqs:, 119, 2.3506, 0, 0, 2.3506, 0.727535
freqs:, 120, 2.37052, 0, 0, 2.37052, 0.733028
freqs:, 121, 2.39044, 0, 0, 2.39044, 0.738525
